City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kidal,18.4411,1.4078,30.48,9,2,5.0,ML,1715234145
1,port elizabeth,-33.918,25.5701,18.16,82,100,1.54,ZA,1715234146
2,tiksi,71.6872,128.8694,-1.03,82,85,2.76,RU,1715234147
3,west island,-12.1568,96.8225,29.99,70,22,6.17,CC,1715234148
4,wailua homesteads,22.0669,-159.378,25.24,83,100,4.63,US,1715234148
5,adamstown,-25.066,-130.1015,21.79,78,69,3.22,PN,1715234149
6,udachny,66.4167,112.4,-4.2,68,91,6.48,RU,1715234150
7,avarua,-21.2078,-159.775,27.03,94,40,3.6,CK,1715234150
8,invercargill,-46.4,168.35,8.9,75,24,3.58,NZ,1715234151
9,balangir,20.7167,83.4833,36.75,31,69,3.2,IN,1715234152
10,sao joao da barra,-21.6403,-41.0511,23.37,92,8,3.48,BR,1715234152
11,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,67,75,10.0,RU,1715234153
12,bilibino,68.0546,166.4372,1.78,80,42,0.91,RU,1715234153
13,bari,41.1177,16.8512,17.81,79,0,2.06,IT,1715234154
14,al mindak,20.1588,41.2834,22.78,21,0,0.22,SA,1715234155
15,erenhot,43.6475,111.9767,28.16,20,100,11.01,CN,1715234155
16,olonkinbyen,70.9221,-8.7187,-3.06,92,100,15.98,SJ,1715234156
17,albany,42.6001,-73.9662,14.23,77,35,0.89,US,1715234157
18,iskateley,67.6803,53.1512,-4.99,88,100,7.15,RU,1715234157
19,grytviken,-54.2811,-36.5092,-3.56,69,8,2.51,GS,1715234158
20,livingston,55.9029,-3.5226,12.49,93,40,3.6,GB,1715234159
21,la sarre,48.8002,-79.1996,5.18,75,99,4.04,CA,1715234159
22,kingston upon hull,53.7446,-0.3353,13.3,48,100,2.57,GB,1715234160
23,rabo de peixe,37.8,-25.5833,17.77,99,20,3.6,PT,1715234160
24,stanley,54.868,-1.6985,11.55,91,99,2.06,GB,1715234161
25,blackmans bay,-43.0167,147.3167,13.18,93,84,1.29,AU,1715234162
26,georgetown,5.4112,100.3354,32.97,62,20,4.63,MY,1715234162
27,melenki,55.3343,41.6295,1.46,64,61,5.91,RU,1715234163
28,lospalos,-8.5186,127.0025,26.57,68,18,4.45,TL,1715234163
29,port-aux-francais,-49.35,70.2167,5.88,86,95,9.85,TF,1715234164
30,waitangi,-43.9535,-176.5597,9.34,90,100,4.89,NZ,1715234165
31,punta arenas,-53.15,-70.9167,4.06,81,75,3.6,CL,1715234165
32,port alfred,-33.5906,26.891,16.77,99,49,0.89,ZA,1715234166
33,margate,51.3813,1.3862,9.27,94,100,2.02,GB,1715234166
34,mersa matruh,31.3525,27.2453,22.22,41,51,7.58,EG,1715234167
35,bodo,67.28,14.405,6.64,70,75,6.69,NO,1715234168
36,yellowknife,62.456,-114.3525,11.29,62,75,5.14,CA,1715234168
37,utrik,11.2278,169.8474,27.26,77,78,8.35,MH,1715234169
38,ola,59.5833,151.2833,3.41,78,52,3.1,RU,1715234170
39,ushuaia,-54.8,-68.3,-1.19,86,20,2.06,AR,1715234170
